124668802
         5969263 function calls (3835054 primitive calls) in 12.290 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
768738/59203    2.792    0.000    3.069    0.000 RangeIndex.py:30(update_nodes_heights)
389711/29938    1.327    0.000    3.173    0.000 RangeIndex.py:79(balance)
293787/40000    0.966    0.000    1.408    0.000 RangeIndex.py:179(_range)
290603/20000    0.948    0.000    1.442    0.000 RangeIndex.py:244(_count_by_key)
187210/14969    0.694    0.000    0.694    0.000 RangeIndex.py:43(update_nodes_sizes)
   899336    0.665    0.000    0.665    0.000 circuit2.py:218(__le__)
172877/14970    0.524    0.000    0.803    0.000 RangeIndex.py:199(_find_by_key)
187532/14969    0.473    0.000    1.692    0.000 RangeIndex.py:57(insert)
50857/20917    0.335    0.000    0.335    0.000 RangeIndex.py:444(__init__)
        1    0.308    0.308   11.274   11.274 circuit2.py:310(_compute_crossings)
   231746    0.279    0.000    0.488    0.000 RangeIndex.py:469(__gt__)
   428510    0.278    0.000    0.278    0.000 circuit2.py:228(__ge__)
   709539    0.277    0.000    0.277    0.000 {max}
   443480    0.272    0.000    0.272    0.000 circuit2.py:233(__eq__)
    14970    0.229    0.000    4.383    0.000 RangeIndex.py:279(remove)
   251746    0.228    0.000    0.228    0.000 circuit2.py:223(__gt__)
        1    0.223    0.223    0.650    0.650 circuit2.py:120(from_file)
    29265    0.189    0.000    1.780    0.000 RangeIndex.py:125(_rotate_op)
    34970    0.186    0.000    0.265    0.000 circuit2.py:21(__init__)
        1    0.173    0.173    0.173    0.173 {method 'sort' of 'list' objects}
        1    0.135    0.135    0.180    0.180 circuit2.py:299(_events_from_layer)
    14970    0.106    0.000    3.480    0.000 RangeIndex.py:10(add)
    34970    0.084    0.000    0.349    0.000 circuit2.py:100(add_wire)
    20000    0.073    0.000    3.006    0.000 RangeIndex.py:264(count)
    21140    0.063    0.000    1.846    0.000 RangeIndex.py:101(rotate)
    69940    0.061    0.000    0.061    0.000 circuit2.py:48(is_horizontal)
    29253    0.050    0.000    0.127    0.000 RangeIndex.py:462(set_child)
    29940    0.044    0.000    0.044    0.000 circuit2.py:205(__init__)
    40000    0.041    0.000    1.448    0.000 RangeIndex.py:176(range)
    34970    0.040    0.000    0.040    0.000 circuit2.py:82(next_object_id)
    34973    0.039    0.000    0.039    0.000 {method 'split' of 'str' objects}
    34972    0.038    0.000    0.038    0.000 {method 'readline' of 'file' objects}
    20000    0.023    0.000    1.465    0.000 RangeIndex.py:241(count_by_key)
    20000    0.020    0.000    0.020    0.000 circuit2.py:253(__init__)
    20000    0.019    0.000    0.019    0.000 circuit2.py:262(__init__)
    14970    0.017    0.000    0.820    0.000 RangeIndex.py:196(find_by_key)
    49940    0.014    0.000    0.014    0.000 circuit2.py:346(trace_sweep_line)
    20000    0.012    0.000    0.012    0.000 circuit2.py:52(is_vertical)
7257/3253    0.010    0.000    0.010    0.000 RangeIndex.py:219(_find_min)
    50280    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
7077/3292    0.008    0.000    0.008    0.000 RangeIndex.py:232(_find_max)
     8125    0.003    0.000    0.003    0.000 {abs}
        1    0.002    0.002   12.290   12.290 circuit2.py:3(<module>)
        1    0.002    0.002    0.002    0.002 {method 'values' of 'dict' objects}
       14    0.001    0.000    0.002    0.000 sre_compile.py:207(_optimize_charset)
     15/6    0.001    0.000    0.002    0.000 sre_parse.py:379(_parse)
        1    0.001    0.001    0.010    0.010 __init__.py:99(<module>)
        1    0.001    0.001    0.003    0.003 scanner.py:2(<module>)
     26/6    0.001    0.000    0.003    0.000 sre_compile.py:32(_compile)
        4    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
      118    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
        1    0.000    0.000    0.000    0.000 hex_codec.py:8(<module>)
